"REGISTRATIONNO","ZONEID","DAMAGESEVERITYID","ERRORCODE","NUMBEROFACCIDENTS"
"Car16","ZoneD",4,"Error005",1
"Car14","ZoneD",4,"Error001",1
"Car05","ZoneC",5,"Error003",1
"Car01","ZoneC",2,"Error003",1
"Car07","ZoneD",4,"Error005",1
"Car02","ZoneC",4,"Error004",1
"Car11","ZoneB",2,"Error003",1
"Car06","ZoneB",2,"Error001",1
"Car01","ZoneC",5,"Error001",1
"Car05","ZoneB",5,"Error005",1
"Car08","ZoneD",5,"Error005",1
"Car07","ZoneA",3,"Error001",1
"Car05","ZoneD",2,"Error005",1
"Car22","ZoneA",1,"Error002",15
"Car13","ZoneA",2,"Error004",1
"Car20","ZoneD",5,"Error003",2
"Car18","ZoneD",4,"Error005",1
"Car08","ZoneC",2,"Error001",2
"Car27","ZoneB",1,"Error002",12
"Car03","ZoneC",4,"Error005",1
"Car06","ZoneA",4,"Error003",2
"Car20","ZoneC",2,"Error005",2
"Car12","ZoneC",5,"Error004",1
"Car03","ZoneC",3,"Error003",1
"Car16","ZoneA",2,"Error004",2
"Car12","ZoneB",2,"Error003",2
"Car01","ZoneA",4,"Error005",1
"Car14","ZoneA",3,"Error003",2
"Car03","ZoneD",5,"Error005",1
"Car04","ZoneB",2,"Error004",1
"Car30","ZoneB",1,"Error002",13
"Car08","ZoneD",4,"Error003",2
"Car19","ZoneB",5,"Error005",1
"Car22","ZoneD",5,"Error004",1
"Car15","ZoneC",3,"Error005",1
"Car29","ZoneB",1,"Error002",9
"Car01","ZoneA",3,"Error003",2
"Car09","ZoneD",3,"Error001",2
"Car02","ZoneD",2,"Error004",1
"Car06","ZoneC",2,"Error005",1
"Car29","ZoneC",1,"Error002",10
"Car14","ZoneB",3,"Error003",2
"Car14","ZoneD",5,"Error005",1
"Car02","ZoneD",2,"Error001",1
"Car16","ZoneD",5,"Error005",2
"Car07","ZoneC",4,"Error003",1
"Car05","ZoneC",2,"Error004",2
"Car04","ZoneC",5,"Error005",1
"Car18","ZoneA",5,"Error004",2
"Car09","ZoneD",2,"Error001",1
"Car15","ZoneC",2,"Error004",1
"Car04","ZoneA",3,"Error005",1
"Car11","ZoneC",2,"Error001",1
"Car01","ZoneD",3,"Error001",1
"Car01","ZoneD",3,"Error003",1
"Car05","ZoneD",3,"Error003",1
"Car17","ZoneD",4,"Error001",1
"Car15","ZoneC",4,"Error001",1
"Car10","ZoneA",2,"Error004",1
"Car09","ZoneD",4,"Error004",1
"Car07","ZoneB",2,"Error003",1
"Car15","ZoneC",2,"Error003",2
"Car15","ZoneC",2,"Error005",1
"Car15","ZoneD",3,"Error005",1
"Car10","ZoneD",2,"Error003",1
"Car14","ZoneC",2,"Error001",1
"Car20","ZoneC",2,"Error004",1
"Car15","ZoneC",3,"Error004",1
"Car10","ZoneC",2,"Error005",1
"Car19","ZoneD",3,"Error004",1
"Car08","ZoneB",4,"Error003",1
"Car12","ZoneC",2,"Error003",1
"Car05","ZoneA",4,"Error004",1
"Car06","ZoneC",4,"Error001",1
"Car02","ZoneA",2,"Error001",1
"Car15","ZoneA",4,"Error005",1
"Car19","ZoneB",5,"Error001",1
"Car08","ZoneA",4,"Error004",1
"Car19","ZoneB",5,"Error003",1
"Car09","ZoneD",5,"Error005",1
"Car02","ZoneC",5,"Error003",1
"Car05","ZoneC",2,"Error003",1
"Car13","ZoneC",5,"Error003",1
"Car09","ZoneC",5,"Error004",1
"Car03","ZoneB",5,"Error001",1
"Car09","ZoneD",5,"Error001",1
"Car27","ZoneC",1,"Error002",11
"Car26","ZoneB",1,"Error002",13
"Car04","ZoneD",4,"Error001",2
"Car04","ZoneC",2,"Error005",1
"Car18","ZoneB",5,"Error004",1
"Car04","ZoneB",5,"Error004",1
"Car20","ZoneC",5,"Error004",1
"Car10","ZoneC",4,"Error004",1
"Car24","ZoneD",1,"Error002",9
"Car07","ZoneA",3,"Error003",1
"Car03","ZoneC",3,"Error005",1
"Car15","ZoneD",5,"Error004",2
"Car18","ZoneC",2,"Error003",2
"Car04","ZoneB",5,"Error001",1
"Car11","ZoneD",2,"Error005",2
"Car27","ZoneD",1,"Error002",11
"Car11","ZoneB",2,"Error005",1
"Car15","ZoneA",5,"Error004",1
"Car15","ZoneD",4,"Error004",2
"Car08","ZoneA",1,"Error002",1
"Car06","ZoneA",3,"Error004",1
"Car21","ZoneA",1,"Error002",6
"Car19","ZoneB",4,"Error001",1
"Car16","ZoneB",3,"Error004",2
"Car06","ZoneA",5,"Error003",1
"Car09","ZoneB",4,"Error003",1
"Car04","ZoneB",2,"Error003",1
"Car04","ZoneB",5,"Error005",1
"Car03","ZoneA",4,"Error005",1
"Car06","ZoneB",5,"Error001",1
"Car08","ZoneD",3,"Error005",1
"Car19","ZoneB",2,"Error001",2
"Car01","ZoneC",4,"Error005",2
"Car18","ZoneB",2,"Error003",1
"Car01","ZoneD",5,"Error004",1
"Car03","ZoneC",2,"Error004",1
"Car04","ZoneB",4,"Error004",1
"Car20","ZoneB",4,"Error005",2
"Car17","ZoneD",5,"Error003",1
"Car12","ZoneC",5,"Error005",1
"Car11","ZoneA",4,"Error001",1
"Car20","ZoneC",3,"Error001",1
"Car09","ZoneB",2,"Error005",1
"Car15","ZoneD",3,"Error001",1
"Car08","ZoneC",3,"Error003",1
"Car13","ZoneD",2,"Error003",1
"Car12","ZoneC",4,"Error005",2
"Car18","ZoneA",3,"Error003",2
"Car17","ZoneD",2,"Error003",2
"Car07","ZoneC",3,"Error005",1
"Car20","ZoneB",4,"Error001",2
"Car08","ZoneD",4,"Error001",1
"Car11","ZoneB",5,"Error004",1
"Car02","ZoneA",4,"Error001",1
"Car10","ZoneD",3,"Error003",1
"Car16","ZoneA",5,"Error003",1
"Car20","ZoneA",3,"Error003",2
"Car18","ZoneB",5,"Error003",1
"Car16","ZoneD",2,"Error005",1
"Car03","ZoneB",4,"Error001",1
"Car02","ZoneC",4,"Error003",1
"Car07","ZoneC",3,"Error004",1
"Car15","ZoneC",4,"Error004",1
"Car04","ZoneC",3,"Error005",1
"Car14","ZoneB",5,"Error005",1
"Car18","ZoneA",3,"Error001",1
"Car02","ZoneA",4,"Error005",1
"Car23","ZoneB",1,"Error002",10
"Car22","ZoneB",1,"Error002",8
"Car11","ZoneC",3,"Error005",1
"Car20","ZoneA",4,"Error005",1
"Car13","ZoneC",5,"Error001",1
"Car05","ZoneD",5,"Error003",1
"Car27","ZoneA",1,"Error002",8
"Car11","ZoneB",4,"Error004",1
"Car16","ZoneB",2,"Error003",2
"Car22","ZoneC",1,"Error002",11
"Car20","ZoneB",3,"Error001",1
"Car09","ZoneB",4,"Error004",1
"Car14","ZoneC",3,"Error004",1
"Car08","ZoneC",2,"Error005",1
"Car02","ZoneB",4,"Error001",1
"Car02","ZoneD",4,"Error005",2
"Car10","ZoneC",5,"Error003",1
"Car05","ZoneC",2,"Error005",1
"Car16","ZoneB",5,"Error003",2
"Car08","ZoneB",3,"Error001",3
"Car20","ZoneC",5,"Error001",1
"Car07","ZoneA",5,"Error001",2
"Car02","ZoneC",2,"Error001",1
"Car06","ZoneC",3,"Error005",1
"Car14","ZoneC",5,"Error003",1
"Car11","ZoneA",2,"Error003",1
"Car10","ZoneB",4,"Error001",1
"Car12","ZoneC",3,"Error003",3
"Car13","ZoneC",3,"Error004",1
"Car13","ZoneD",5,"Error005",1
"Car09","ZoneC",4,"Error001",1
"Car10","ZoneC",4,"Error003",3
"Car10","ZoneB",5,"Error004",1
"Car01","ZoneD",4,"Error001",1
"Car09","ZoneA",5,"Error001",1
"Car13","ZoneB",5,"Error001",2
"Car20","ZoneA",2,"Error001",1
"Car04","ZoneD",5,"Error005",1
"Car14","ZoneD",2,"Error005",1
"Car13","ZoneD",2,"Error001",1
"Car07","ZoneD",3,"Error004",1
"Car06","ZoneB",3,"Error005",1
"Car15","ZoneD",2,"Error001",1
"Car05","ZoneD",5,"Error005",1
"Car04","ZoneA",5,"Error001",1
"Car07","ZoneB",3,"Error004",2
"Car17","ZoneC",2,"Error003",1
"Car01","ZoneC",5,"Error003",1
"Car13","ZoneB",5,"Error005",1
"Car10","ZoneD",4,"Error004",2
"Car18","ZoneA",3,"Error004",1
"Car14","ZoneA",5,"Error005",1
"Car10","ZoneD",2,"Error005",1
"Car19","ZoneC",4,"Error001",1
"Car16","ZoneC",4,"Error004",1
"Car05","ZoneC",2,"Error001",1
"Car04","ZoneC",4,"Error004",1
"Car16","ZoneD",5,"Error003",1
"Car17","ZoneB",5,"Error001",1
"Car09","ZoneA",3,"Error004",1
"Car19","ZoneD",3,"Error003",1
"Car12","ZoneB",4,"Error001",1
"Car03","ZoneD",3,"Error005",1
"Car30","ZoneC",1,"Error002",12
"Car17","ZoneA",5,"Error004",3
"Car01","ZoneA",2,"Error003",1
"Car25","ZoneB",1,"Error002",11
"Car24","ZoneA",1,"Error002",11
"Car20","ZoneC",5,"Error005",1
"Car23","ZoneD",1,"Error002",9
"Car09","ZoneC",4,"Error004",1
"Car24","ZoneC",1,"Error002",5
"Car01","ZoneC",2,"Error001",3
"Car22","ZoneD",1,"Error002",11
"Car13","ZoneB",3,"Error004",1
"Car12","ZoneA",4,"Error001",1
"Car09","ZoneB",3,"Error001",1
"Car20","ZoneA",5,"Error001",2
"Car09","ZoneA",4,"Error005",2
"Car05","ZoneB",2,"Error004",2
"Car04","ZoneC",3,"Error001",1
"Car10","ZoneC",3,"Error004",1
"Car07","ZoneA",4,"Error003",2
"Car10","ZoneA",4,"Error005",1
"Car08","ZoneD",5,"Error001",2
"Car12","ZoneD",3,"Error004",1
"Car17","ZoneA",3,"Error001",1
"Car28","ZoneA",1,"Error002",7
"Car07","ZoneD",5,"Error001",1
"Car04","ZoneC",2,"Error003",1
"Car08","ZoneA",3,"Error001",2
"Car06","ZoneB",3,"Error003",1
"Car17","ZoneD",5,"Error004",1
"Car16","ZoneA",4,"Error004",1
"Car08","ZoneD",5,"Error004",2
"Car13","ZoneA",4,"Error003",1
"Car18","ZoneC",2,"Error005",1
"Car08","ZoneB",4,"Error004",1
"Car05","ZoneA",4,"Error005",2
"Car09","ZoneC",2,"Error004",2
"Car04","ZoneD",3,"Error001",3
"Car03","ZoneB",3,"Error001",2
"Car01","ZoneB",2,"Error003",1
"Car16","ZoneA",4,"Error001",1
"Car20","ZoneA",2,"Error003",1
"Car19","ZoneB",3,"Error001",1
"Car19","ZoneA",3,"Error005",1
"Car16","ZoneB",3,"Error005",1
"Car12","ZoneD",2,"Error004",1
"Car14","ZoneC",5,"Error004",2
"Car06","ZoneB",2,"Error003",2
"Car19","ZoneC",3,"Error005",1
"Car16","ZoneC",4,"Error005",1
"Car15","ZoneD",4,"Error005",1
"Car20","ZoneA",3,"Error005",2
"Car01","ZoneD",4,"Error005",2
"Car11","ZoneB",4,"Error005",1
"Car19","ZoneC",2,"Error004",1
"Car15","ZoneC",5,"Error004",1
"Car01","ZoneB",4,"Error004",1
"Car19","ZoneB",1,"Error002",1
"Car13","ZoneD",4,"Error004",1
"Car06","ZoneA",2,"Error005",1
"Car01","ZoneB",3,"Error003",1
"Car06","ZoneD",4,"Error001",1
"Car17","ZoneB",2,"Error003",1
"Car06","ZoneD",5,"Error003",1
"Car12","ZoneD",4,"Error001",1
"Car02","ZoneC",4,"Error005",1
"Car19","ZoneB",2,"Error005",1
"Car08","ZoneB",3,"Error005",1
"Car07","ZoneB",4,"Error004",1
"Car08","ZoneB",5,"Error004",1
"Car02","ZoneA",5,"Error004",1
"Car14","ZoneB",4,"Error001",1
"Car18","ZoneC",2,"Error004",1
"Car05","ZoneB",5,"Error004",1
"Car10","ZoneB",2,"Error001",1
"Car12","ZoneD",5,"Error005",1
"Car01","ZoneB",2,"Error005",1
"Car20","ZoneD",2,"Error001",1
"Car12","ZoneB",5,"Error001",4
"Car08","ZoneC",5,"Error005",3
"Car04","ZoneA",2,"Error004",2
"Car13","ZoneA",3,"Error004",2
"Car29","ZoneD",1,"Error002",8
"Car17","ZoneB",5,"Error003",1
"Car09","ZoneC",4,"Error003",1
"Car19","ZoneC",5,"Error001",2
"Car15","ZoneB",4,"Error003",2
"Car12","ZoneA",3,"Error001",2
"Car21","ZoneD",1,"Error002",10
"Car19","ZoneC",2,"Error005",1
"Car17","ZoneC",3,"Error003",1
"Car16","ZoneD",3,"Error001",2
"Car15","ZoneA",2,"Error003",1
"Car07","ZoneB",4,"Error001",1
"Car29","ZoneA",1,"Error002",10
"Car04","ZoneD",3,"Error004",2
"Car08","ZoneA",2,"Error004",1
"Car21","ZoneC",1,"Error002",11
"Car06","ZoneA",3,"Error005",1
"Car06","ZoneD",3,"Error005",2
"Car01","ZoneD",5,"Error001",2
"Car06","ZoneD",4,"Error003",1
"Car04","ZoneA",2,"Error001",2
"Car24","ZoneB",1,"Error002",10
"Car11","ZoneD",4,"Error001",1
"Car11","ZoneB",5,"Error001",1
"Car20","ZoneB",3,"Error004",1
"Car01","ZoneA",5,"Error003",2
"Car09","ZoneD",4,"Error001",1
"Car05","ZoneA",2,"Error003",2
"Car19","ZoneC",3,"Error004",1
"Car03","ZoneD",4,"Error001",1
"Car21","ZoneB",1,"Error002",10
"Car09","ZoneC",3,"Error005",1
"Car09","ZoneA",4,"Error003",1
"Car10","ZoneD",3,"Error005",1
"Car10","ZoneC",4,"Error005",1
"Car07","ZoneA",2,"Error005",1
"Car18","ZoneD",5,"Error003",1
"Car01","ZoneD",4,"Error004",1
"Car19","ZoneA",3,"Error003",1
"Car16","ZoneC",2,"Error001",2
"Car02","ZoneC",2,"Error003",2
"Car17","ZoneD",5,"Error001",2
"Car09","ZoneA",2,"Error003",1
"Car18","ZoneA",5,"Error001",1
"Car14","ZoneC",4,"Error005",1
"Car14","ZoneB",2,"Error003",1
"Car11","ZoneB",5,"Error003",2
"Car14","ZoneA",5,"Error003",2
"Car15","ZoneB",4,"Error001",1
"Car10","ZoneD",5,"Error001",1
"Car03","ZoneC",2,"Error003",1
"Car05","ZoneD",4,"Error001",1
"Car16","ZoneD",3,"Error004",1
"Car06","ZoneC",2,"Error003",1
"Car02","ZoneC",3,"Error003",2
"Car11","ZoneD",3,"Error003",1
"Car09","ZoneC",2,"Error003",1
"Car18","ZoneC",2,"Error001",1
"Car19","ZoneC",5,"Error003",1
"Car07","ZoneD",2,"Error001",1
"Car14","ZoneD",3,"Error004",1
"Car18","ZoneC",5,"Error005",1
"Car16","ZoneD",5,"Error004",1
"Car16","ZoneB",4,"Error001",1
"Car19","ZoneD",3,"Error005",2
"Car14","ZoneD",3,"Error003",1
"Car17","ZoneD",2,"Error004",1
"Car06","ZoneC",3,"Error003",1
"Car10","ZoneC",4,"Error001",1
"Car11","ZoneD",5,"Error003",1
"Car15","ZoneB",3,"Error003",1
"Car08","ZoneC",5,"Error004",1
"Car25","ZoneC",1,"Error002",6
"Car06","ZoneA",5,"Error004",1
"Car04","ZoneC",3,"Error004",1
"Car12","ZoneA",5,"Error004",2
"Car12","ZoneA",4,"Error004",3
"Car16","ZoneD",3,"Error005",2
"Car08","ZoneD",2,"Error005",1
"Car26","ZoneC",1,"Error002",6
"Car08","ZoneA",5,"Error005",2
"Car06","ZoneB",5,"Error004",1
"Car07","ZoneC",2,"Error005",1
"Car27","ZoneC",2,"Error003",1
"Car10","ZoneB",1,"Error002",1
"Car11","ZoneB",2,"Error004",1
"Car04","ZoneD",4,"Error005",1
"Car03","ZoneC",2,"Error005",1
"Car10","ZoneB",2,"Error005",2
"Car20","ZoneD",5,"Error004",2
"Car17","ZoneA",5,"Error003",2
"Car11","ZoneC",3,"Error001",1
"Car15","ZoneA",4,"Error003",1
"Car19","ZoneA",3,"Error004",1
"Car07","ZoneB",5,"Error005",1
"Car11","ZoneC",2,"Error003",2
"Car06","ZoneC",4,"Error004",1
"Car09","ZoneD",3,"Error003",1
"Car13","ZoneC",2,"Error004",1
"Car05","ZoneA",3,"Error003",1
"Car06","ZoneD",2,"Error003",1
"Car15","ZoneC",2,"Error001",1
"Car14","ZoneA",4,"Error001",1
"Car03","ZoneA",5,"Error003",1
"Car01","ZoneC",3,"Error004",2
"Car20","ZoneA",2,"Error004",1
"Car10","ZoneB",3,"Error005",1
"Car06","ZoneC",5,"Error001",1
"Car01","ZoneA",5,"Error001",1
"Car16","ZoneC",5,"Error001",1
"Car04","ZoneA",4,"Error001",1
"Car12","ZoneD",2,"Error005",2
"Car10","ZoneD",5,"Error003",1
"Car14","ZoneD",5,"Error003",1
"Car09","ZoneA",3,"Error005",1
"Car07","ZoneD",4,"Error001",1
"Car11","ZoneC",5,"Error005",1
"Car17","ZoneA",4,"Error001",1
"Car17","ZoneD",4,"Error004",1
"Car01","ZoneC",3,"Error005",1
"Car03","ZoneD",5,"Error001",2
"Car04","ZoneC",2,"Error001",1
"Car13","ZoneD",3,"Error001",1
"Car13","ZoneD",4,"Error003",1
"Car12","ZoneA",2,"Error004",1
"Car07","ZoneA",4,"Error004",1
"Car01","ZoneC",4,"Error003",1
"Car08","ZoneD",5,"Error003",1
"Car12","ZoneA",3,"Error004",1
"Car08","ZoneC",5,"Error001",1
"Car18","ZoneA",2,"Error001",1
"Car05","ZoneB",4,"Error001",1
"Car15","ZoneD",3,"Error003",1
"Car16","ZoneB",4,"Error005",1
"Car12","ZoneA",3,"Error005",1
"Car12","ZoneB",3,"Error001",1
"Car18","ZoneB",4,"Error004",2
"Car20","ZoneA",3,"Error004",2
"Car06","ZoneD",3,"Error001",2
"Car23","ZoneC",1,"Error002",7
"Car10","ZoneC",3,"Error003",1
"Car12","ZoneB",3,"Error005",2
"Car20","ZoneB",3,"Error003",1
"Car30","ZoneA",1,"Error002",10
"Car26","ZoneA",1,"Error002",6
"Car20","ZoneC",4,"Error005",2
"Car13","ZoneA",4,"Error005",1
"Car01","ZoneA",5,"Error005",1
"Car10","ZoneB",2,"Error003",1
"Car28","ZoneD",1,"Error002",7
"Car09","ZoneA",5,"Error003",2
"Car09","ZoneB",5,"Error004",1
"Car14","ZoneD",2,"Error004",1
"Car18","ZoneB",4,"Error003",1
"Car17","ZoneB",4,"Error005",1
"Car15","ZoneA",4,"Error001",1
"Car28","ZoneB",1,"Error002",6
"Car17","ZoneD",2,"Error001",2
"Car12","ZoneA",2,"Error001",1
"Car07","ZoneC",4,"Error004",1
"Car14","ZoneC",4,"Error001",1
"Car19","ZoneA",4,"Error001",1
"Car11","ZoneA",5,"Error004",1
"Car16","ZoneD",5,"Error001",1
"Car11","ZoneA",5,"Error001",2
"Car15","ZoneC",5,"Error005",2
"Car05","ZoneA",2,"Error004",1
"Car12","ZoneC",5,"Error003",1
"Car05","ZoneC",5,"Error005",2
"Car25","ZoneA",1,"Error002",3
"Car18","ZoneA",5,"Error003",1
"Car09","ZoneB",4,"Error001",1
"Car01","ZoneB",4,"Error001",1
"Car03","ZoneC",5,"Error003",2
"Car19","ZoneB",4,"Error005",1
"Car06","ZoneC",5,"Error004",1
"Car14","ZoneD",2,"Error003",1
"Car03","ZoneC",5,"Error001",2
"Car11","ZoneC",4,"Error004",1
"Car01","ZoneC",3,"Error001",1
"Car05","ZoneD",2,"Error001",1
"Car07","ZoneA",5,"Error005",1
"Car13","ZoneA",2,"Error005",1
"Car17","ZoneA",2,"Error004",2
"Car19","ZoneC",3,"Error001",1
"Car20","ZoneB",2,"Error001",1
"Car15","ZoneC",4,"Error003",1
"Car19","ZoneD",5,"Error001",1
"Car14","ZoneB",2,"Error005",1
"Car18","ZoneD",5,"Error001",1
"Car06","ZoneA",4,"Error004",1
