"BOOKINGMONTHID","FACULTYID","AGEGROUPID","CARBODYID","NUMBEROFBOOKINGS"
"201909","SCI",3,1,4
"202111","FIT",2,3,3
"201711","FIT",2,3,6
"202005","BUS",2,3,2
"202007","ENG",1,1,4
"202111","SCI",1,2,2
"201602","SCI",1,3,5
"201910","FIT",1,2,3
"201904","ART",2,2,3
"201612","ART",2,3,5
"201602","ART",2,3,6
"201602","ENG",2,1,5
"202104","SCI",3,3,3
"201807","FIT",2,2,4
"201808","SCI",1,3,1
"201607","ENG",1,3,6
"201711","FIT",2,2,5
"201503","FIT",2,3,5
"202103","ENG",1,3,6
"201808","BUS",1,1,2
"201803","SCI",3,1,3
"201612","SCI",2,2,5
"202110","BUS",2,2,3
"201608","SCI",3,1,3
"201811","ENG",2,3,6
"201512","FIT",1,2,5
"202012","ART",1,2,4
"201806","ENG",1,1,3
"201907","SCI",2,1,4
"201802","ART",1,3,3
"202108","SCI",3,2,3
"202005","ART",1,2,4
"201706","BUS",2,1,3
"201702","SCI",3,2,2
"202001","FIT",1,3,2
"202004","ENG",3,2,1
"201812","FIT",1,1,6
"202004","ART",1,1,2
"202112","ART",1,3,3
"202101","BUS",2,3,2
"201902","ENG",2,2,4
"201705","ENG",2,2,4
"201609","SCI",1,2,4
"202008","ENG",2,3,5
"201612","FIT",1,1,5
"202008","ART",2,3,3
"202106","FIT",2,1,4
"201812","SCI",1,3,3
"201811","SCI",2,1,6
"202102","SCI",1,3,2
"202102","ART",1,2,2
"202112","BUS",2,1,4
"202006","SCI",2,1,2
"202007","FIT",2,2,8
"202108","ART",1,1,1
"201704","ENG",1,3,6
"201801","FIT",1,1,8
"201802","ENG",2,1,5
"201707","ART",1,3,4
"201503","FIT",2,2,2
"201906","FIT",1,3,4
"201612","FIT",2,3,9
"201604","BUS",1,3,1
"201701","FIT",1,3,3
"202112","ENG",1,2,6
"202005","FIT",1,2,5
"202107","ART",1,3,3
"201507","FIT",3,2,7
"202101","ART",2,1,2
"201809","ENG",2,1,4
"201910","BUS",2,3,4
"202005","FIT",3,1,2
"202011","SCI",1,3,3
"202109","FIT",3,1,1
"201512","BUS",2,2,1
"201610","BUS",1,3,2
"202006","FIT",3,1,4
"202002","FIT",1,1,3
"201512","SCI",2,3,6
"202111","FIT",3,3,1
"201510","SCI",1,2,6
"202006","FIT",3,3,1
"201606","ENG",2,2,3
"201910","ART",2,1,2
"201702","ART",2,3,2
"201604","SCI",1,1,1
"201811","SCI",2,2,2
"201601","FIT",1,1,7
"201811","SCI",1,1,3
"201809","FIT",3,1,2
"202003","BUS",2,2,4
"202007","BUS",1,3,4
"202008","FIT",1,1,3
"201905","SCI",2,2,2
"202108","FIT",1,1,2
"201811","SCI",2,3,7
"201603","ENG",2,3,4
"202102","FIT",3,3,2
"201904","ART",2,3,3
"201911","ENG",2,2,3
"202012","BUS",2,2,2
"201507","FIT",1,2,3
"201905","FIT",2,2,4
"201903","FIT",3,3,2
"201604","SCI",2,3,2
"202104","SCI",1,2,1
"201711","SCI",3,3,3
"201811","FIT",3,1,2
"201812","SCI",2,3,3
"201807","ART",1,3,1
"201510","BUS",2,3,3
"201805","ART",1,2,2
"202105","FIT",1,2,4
"201811","BUS",1,1,1
"201801","BUS",1,3,1
"202005","SCI",3,3,2
"201504","FIT",1,2,2
"201811","BUS",1,3,1
"201710","ART",1,3,1
"201609","FIT",1,2,3
"201709","BUS",2,1,1
"202002","BUS",1,2,6
"201910","SCI",1,2,3
"202008","BUS",1,1,1
"201607","SCI",2,1,1
"201907","ENG",3,1,1
"201502","ART",1,1,1
"201607","SCI",3,1,1
"201612","SCI",3,3,1
"202001","ENG",2,2,6
"201701","FIT",2,1,6
"202104","ART",1,1,3
"202002","BUS",2,3,1
"202102","FIT",2,1,4
"201806","BUS",1,2,1
"201502","SCI",2,2,3
"201801","ART",1,2,1
"201512","ENG",1,3,4
"202104","SCI",1,1,5
"201710","ART",2,1,3
"201505","ENG",1,1,2
"201811","BUS",1,2,1
"201602","BUS",2,1,2
"202104","ENG",2,1,2
"201604","ENG",3,2,1
"202111","BUS",2,1,1
"201704","SCI",2,3,1
"201606","FIT",3,2,1
"202008","SCI",1,1,3
"202101","FIT",3,3,2
"201504","FIT",1,3,4
"201604","SCI",3,1,2
"201606","BUS",1,2,1
"201806","FIT",1,1,2
"201908","SCI",3,3,1
"201906","BUS",1,1,1
"201710","BUS",1,2,1
"201710","SCI",3,3,1
"202002","FIT",1,2,3
"201806","FIT",3,3,1
"201608","ENG",3,2,1
"201908","BUS",1,3,1
"202101","SCI",3,3,1
"201809","FIT",3,2,3
"202107","FIT",3,2,1
"201507","ART",2,2,1
"202105","ENG",2,3,3
"201809","BUS",1,1,1
"201712","BUS",1,1,1
"201809","ENG",1,1,2
"202002","FIT",3,3,1
"201506","BUS",2,1,1
"201905","SCI",3,2,1
"201503","FIT",3,2,1
"202104","FIT",1,2,1
"201908","BUS",1,1,1
"202102","ENG",1,2,1
"201902","ART",1,3,1
"202002","ENG",3,1,1
"201611","FIT",1,3,1
"201610","ENG",3,1,1
"201802","BUS",1,3,1
"202008","FIT",3,3,1
"201804","FIT",1,1,4
"201706","FIT",2,1,4
"202011","FIT",2,3,6
"201601","FIT",2,3,3
"202106","FIT",2,2,10
"202004","ART",2,3,6
"202107","BUS",2,3,4
"201611","BUS",2,2,3
"201502","ART",2,2,2
"201512","FIT",1,3,5
"201504","FIT",3,1,2
"202005","SCI",2,1,3
"202112","SCI",3,1,2
"201506","ENG",2,2,5
"201512","FIT",2,3,13
"202110","ART",1,1,4
"201703","BUS",1,3,3
"201608","ENG",2,2,4
"201907","FIT",2,1,5
"201909","FIT",1,3,6
"202010","ART",2,1,1
"201810","BUS",1,3,1
"201610","SCI",1,2,8
"201701","ENG",1,2,5
"201607","FIT",2,3,13
"201604","BUS",2,2,1
"201604","ENG",1,2,3
"202005","FIT",3,3,3
"202112","SCI",1,3,3
"201706","BUS",1,1,3
"201501","ART",2,1,2
"201603","ART",1,2,4
"202101","FIT",1,2,12
"201909","FIT",2,1,8
"202002","ENG",2,2,4
"201804","FIT",1,3,9
"201504","ART",1,2,3
"201705","ART",1,3,3
"201608","SCI",2,3,5
"201809","SCI",2,2,8
"201802","SCI",1,3,4
"201905","ENG",2,1,6
"202109","ENG",1,3,4
"202006","ENG",2,2,3
"202101","SCI",3,1,3
"202104","BUS",2,3,2
"201906","ART",1,1,4
"201606","FIT",3,1,2
"201801","SCI",3,3,3
"201606","BUS",2,3,1
"202009","FIT",1,3,3
"202001","ART",1,2,5
"201912","SCI",1,1,5
"201611","ENG",1,3,4
"201609","SCI",2,1,2
"201511","SCI",1,1,4
"201908","ENG",1,1,4
"202003","FIT",1,1,6
"201609","BUS",1,1,2
"201701","BUS",1,1,2
"201802","ENG",1,1,3
"201707","ART",1,1,4
"202103","FIT",2,1,11
"201703","FIT",2,2,8
"201901","FIT",3,3,3
"201810","SCI",3,2,2
"201705","FIT",3,1,1
"201801","FIT",3,1,2
"201702","FIT",2,1,8
"202109","FIT",2,1,6
"201911","BUS",1,3,1
"201710","SCI",1,3,10
"201703","ART",1,2,3
"201612","ART",2,1,5
"201904","SCI",2,2,3
"201506","FIT",2,2,8
"201510","SCI",2,1,6
"201907","BUS",2,2,4
"201701","BUS",1,2,4
"202108","FIT",2,2,11
"202008","FIT",1,3,6
"202103","ART",1,2,3
"201511","ENG",1,2,1
"201612","ENG",1,2,8
"201905","ART",2,1,3
"201609","ART",1,3,1
"201705","FIT",1,1,5
"201904","ENG",1,1,6
"201707","BUS",2,1,1
"201604","SCI",1,2,3
"201510","SCI",1,1,7
"202010","BUS",1,1,1
"202008","FIT",3,1,2
"201701","ART",1,2,3
"202109","ENG",1,2,3
"202010","FIT",1,1,3
"202004","FIT",1,3,10
"201505","FIT",2,3,5
"201608","ENG",2,3,5
"201909","FIT",2,2,8
"201907","SCI",1,2,3
"201602","ART",1,3,5
"201801","ENG",1,1,6
"202111","ART",1,2,3
"201602","SCI",3,2,3
"201612","SCI",2,1,4
"202010","ART",2,3,4
"201703","ENG",2,2,5
"201711","ENG",2,1,5
"201609","ENG",1,3,5
"202112","ENG",1,3,3
"202010","ENG",1,3,5
"201701","FIT",1,2,5
"202112","FIT",1,3,6
"201810","ART",1,3,1
"201909","FIT",1,2,3
"202012","SCI",2,3,1
"201512","FIT",2,1,8
"202004","BUS",2,1,2
"201912","SCI",1,3,2
"202009","FIT",2,2,6
"201504","SCI",1,2,4
"202101","ART",1,2,2
"202009","SCI",1,1,3
"201610","ENG",1,3,6
"202104","ENG",1,1,2
"201904","ENG",1,3,5
"201704","ENG",2,1,2
"201503","BUS",1,2,3
"202112","ENG",2,2,5
"201706","SCI",1,2,7
"201806","ART",2,3,5
"201604","FIT",3,3,1
"201904","BUS",2,3,4
"201809","SCI",1,1,1
"201901","ENG",3,1,1
"202108","ENG",1,1,2
"202011","ENG",1,3,5
"202108","ENG",1,2,2
"202109","FIT",1,3,3
"201706","SCI",2,3,2
"201512","ENG",2,1,6
"201601","FIT",3,2,1
"202101","SCI",2,2,5
"201607","ART",1,3,4
"201712","FIT",3,3,3
"201707","BUS",2,2,4
"201506","ENG",2,1,5
"201511","FIT",2,1,3
"201909","ENG",1,2,4
"201803","SCI",2,2,5
"201901","FIT",2,2,2
"201804","FIT",2,3,7
"201809","ART",2,3,3
"201804","FIT",2,2,4
"201611","SCI",3,1,1
"201703","SCI",2,1,2
"201612","ART",2,2,4
"201909","ENG",1,3,7
"202003","ART",1,3,2
"201605","ENG",1,3,5
"201503","SCI",1,1,7
"202006","SCI",2,3,6
"202002","BUS",2,1,4
"201611","ENG",2,1,8
"201803","ART",2,3,3
"201705","BUS",2,3,4
"202002","SCI",3,3,3
"201706","FIT",3,3,1
"201706","FIT",1,3,7
"201710","FIT",2,2,7
"201708","ENG",1,1,4
"202011","SCI",1,1,6
"201605","ART",1,2,3
"202111","SCI",2,3,2
"201507","SCI",2,2,3
"201911","BUS",2,2,2
"202009","ENG",1,3,1
"201702","SCI",1,3,2
"201611","BUS",1,1,3
"201909","FIT",3,1,1
"201509","ART",2,1,4
"202010","FIT",2,1,8
"201509","ART",2,3,2
"201912","BUS",2,2,3
"201708","SCI",1,3,2
"202104","FIT",1,1,4
"201905","SCI",2,1,6
"201808","ENG",3,2,1
"201712","ENG",2,2,4
"201604","SCI",1,3,5
"202102","ENG",1,1,4
"202010","FIT",2,3,4
"201510","ART",2,2,5
"201704","FIT",3,1,2
"201905","FIT",1,2,3
"201708","SCI",3,1,3
"201901","ENG",2,3,6
"201708","BUS",1,1,1
"202004","BUS",1,3,1
"201809","SCI",3,3,3
"201703","FIT",2,3,1
"201708","ART",2,1,2
"201501","SCI",1,1,3
"201705","FIT",3,3,2
"201801","FIT",1,2,5
"201601","FIT",3,1,3
"202009","ART",2,1,3
"201710","ENG",3,3,1
"202108","ENG",2,1,3
"202104","ENG",1,2,3
"201703","ART",1,1,2
"202105","SCI",3,3,1
"202010","ENG",2,1,3
"201903","ENG",3,1,2
"201903","SCI",1,2,3
"201712","SCI",1,3,3
"202105","ART",1,3,2
"202007","SCI",1,2,4
"201704","FIT",3,3,5
"201803","SCI",1,3,5
"201809","BUS",1,2,3
"201509","BUS",2,1,2
"201805","FIT",1,3,3
"201811","ENG",3,3,1
"201810","ART",1,1,1
"202107","FIT",2,1,9
"201512","BUS",1,2,2
"201506","BUS",2,2,2
"202005","ART",1,3,2
"201906","FIT",3,1,1
"201510","FIT",1,1,3
"201805","ART",1,3,4
"202104","ART",1,2,2
"201506","FIT",3,2,2
"202011","ENG",2,3,6
"201701","BUS",2,1,2
"202112","BUS",2,2,1
"201803","ART",2,1,1
"201607","ENG",1,2,8
"202010","FIT",3,2,2
"201911","ENG",1,3,3
"202106","FIT",1,1,2
"201704","SCI",2,2,4
"202102","FIT",2,2,2
"202007","BUS",1,2,2
"202109","SCI",3,3,2
"201612","SCI",2,3,2
"201902","ENG",1,2,4
"201601","ART",1,2,2
"201510","ENG",2,2,2
"201910","FIT",1,1,1
"201504","BUS",2,2,5
"201801","SCI",3,1,2
"201912","BUS",2,3,2
"201504","ART",2,3,3
"202002","SCI",2,1,5
"201611","SCI",3,2,1
"201708","FIT",1,2,4
"201505","BUS",2,1,1
"202106","BUS",1,1,1
"201702","BUS",1,3,2
"202107","SCI",2,3,3
"201801","ENG",2,1,6
"201712","SCI",3,2,1
"201905","BUS",2,2,2
"201712","FIT",3,2,2
"201505","SCI",2,1,4
"202012","ENG",2,2,4
"201707","ENG",1,3,6
"201711","ENG",2,2,4
"202011","FIT",3,2,3
"202110","BUS",1,1,1
"201808","BUS",2,2,2
"201506","BUS",1,3,2
"201907","BUS",2,1,4
"201912","ART",2,1,3
"202110","SCI",3,2,3
"201711","BUS",1,2,2
"201702","ART",2,2,2
"201603","SCI",3,1,1
"201502","SCI",1,2,3
"201810","ENG",3,1,1
"201904","FIT",1,2,5
"201701","ART",1,3,2
"202001","ENG",2,3,3
"201608","SCI",1,1,6
"201607","ENG",2,3,3
"201709","FIT",1,1,3
"201712","ENG",3,2,1
"202107","SCI",2,2,4
"201908","SCI",3,1,2
"201802","ENG",3,1,1
"201612","BUS",1,2,2
"202106","ART",1,1,2
"202006","ART",2,2,1
"201506","SCI",1,2,2
"201907","ENG",3,3,1
"201512","SCI",1,2,2
"201804","FIT",3,1,1
"201707","BUS",1,1,5
"201707","ENG",3,2,2
"201803","SCI",1,1,2
"201906","ART",1,3,1
"201804","ART",2,2,4
"201906","BUS",2,2,2
"202106","BUS",2,2,4
"201811","FIT",1,1,3
"201710","SCI",3,2,2
"201501","SCI",1,2,3
"201604","SCI",3,2,1
"201706","ENG",2,2,1
"202105","ENG",1,1,3
"201909","ART",1,2,3
"201903","ART",2,1,2
"201503","BUS",1,1,1
